company_name,company_name_normalized,dba_name,filer_name,filer_type,first_filing_date,latest_filing_date,total_filing_count,application_count,docket_numbers,is_active,activity_signal,industry_segment,product_summary,market_position,market_position_source,market_position_reason,enrichment_confidence,parsed_address,parsed_city,parsed_state,parsed_phone,parsed_email,parsed_founding_date,key_personnel_count
"FREEWAY COMMUNICATIONS, LLC",freeway communications llc,,(Melvin) Lee Reeves,,2017-03-22,2017-03-22,1,1,17-88,False,"Single FCC filing from 2017-03-22 with no recent activity. LinkedIn profile shows Lee Reeves as CEO of Freeway Communications with VoIP-related content, but profile appears current while FCC filing is 7+ years old with no supplements or follow-up filings.",Carrier,"VoIP telecommunications services provider that filed for interconnected VoIP numbering authorization, likely offering business telecommunication solutions based on LinkedIn profile references to VoIP technology and cost-effective communication services.",Unknown,undetermined,,Low,,,,,,,0
"1st Point Communications LLC, Erik Levitt, Allan Noorda","1st point communications llc, erik levitt, allan noorda",,,,2023-11-17,2023-11-17,1,1,,True,"Recent FCC filing for VoIP Numbering Authorization on 2023-11-17, which indicates active regulatory compliance. Company founded in 2014 with established email domain (elevitt@1pcom.com) and key personnel including CEO Erik Levitt and COO Kristen Vasicek.",Carrier,1st Point Communications provides VoIP services in the United States through its own CLEC facilities and partnerships with CLEC and LEC providers for PSTN traffic routing.,Unknown,undetermined,,Medium,"401 East 34th Street, Ste. #NJ27",,,,elevitt@1pcom.com,2014,2
"200 Networks, LLC",200 networks llc,,,,2020-07-23,2020-07-23,1,1,20-244,False,"Company appears inactive based on: 1) Single FCC filing from 2020-07-23 with no recent activity, 2) Major data breach exposure in March 2021 involving robocall database (reported by Website Planet and multiple cybersecurity sources), 3) Web search results primarily show historical breach reports rather than active business operations, 4) No current company website or active business presence found in searches",CPaaS,"200 Networks was a robocall service provider that offered interconnected VoIP services, primarily operating automated calling systems and databases before experiencing a major data breach in 2021.",SMB,llm,,Medium,10580 N McCarranBlvd 115-302,Reno,NE,8553788007,,,0
"3 Com, LLC.",3 com llc,,,,2023-03-08,2023-03-08,2,2,23-130,True,FCC filing dated 2023-03-08 for VoIP numbering authorization shows recent regulatory activity. Company has active email contact (david@3com.tel) and specific service plans to provide VoIP services in New York State and New Jersey.,Carrier,VoIP service provider offering telecommunications services in New York State and New Jersey through own facilities and CLEC partnerships for PSTN traffic routing.,Unknown,undetermined,,Low,525 Cleveland Massillion Road,Fort Myers,FL,,david@3com.tel,,0
"8X8, Inc.",8x8 inc,,,,2019-12-20,2019-12-20,7,1,20-19,True,"Multiple recent web search results from 2024 (""2 weeks ago"" timestamps on Wikipedia and Trustpilot reviews), customer testimonial from 2011 showing ongoing service use, and comprehensive product documentation found online. While FCC filing is from 2019, the strong web presence and recent customer activity indicate continued operations.",UCaaS,"8x8 provides cloud-based unified communications services including VoIP, team messaging, SMS, video conferencing, and collaboration tools, primarily targeting small-to-mid-market businesses using existing internet connections.",SMB,llm,,High,"2125 O’Nel Dr.,",Campbell,CA,6467517323,brendan.kasper@8x8.com,,2
Adam Szokol,adam szokol,,,individual,2025-02-10,2025-02-10,1,1,,True,"Recent FCC filing (February 10, 2025) for VoIP Numbering Authorization Application, active personal website at adamszokol.com promoting WordPress development services, recent Facebook activity (December 2025), and LinkedIn profile showing AT&T fiber sales experience with VoIP services knowledge",Other,"Individual developer/consultant providing WordPress development services and potentially seeking VoIP numbering authorization, possibly for personal or small business communications needs.",Startup,llm,,Medium,"2300RockSpringsDr,Apt1145,LasVegas,NV89128",Las Vegas,NV,8457930554,adam@adamszokol.com,,0
"Advanced Communications, L.L.C.",advanced communications llc,,,,2021-03-31,2021-03-31,2,1,21-132,True,"Company website found via web search (advancecommunications.com) showing active 24-hour answering service operations. Multiple business profile listings found on RocketReach, BBB, and Datanyze indicating ongoing business presence. Tampa, FL location mentioned in akama.com listing matches FCC filing address.",UCaaS,"Advanced Communications is a telecommunications firm providing IP phone systems, VoIP services, structured cabling, data networking, and cloud services primarily to small and mid-size businesses.",SMB,llm,,Medium,2211 E. 7th Avenue,Tampa,FL,8138058963,,,0
"Advanced Telecom Solutions, LLC",advanced telecom solutions llc,,,,2017-11-01,2017-11-01,7,1,17-342,False,"No evidence of current activity. Last FCC filing was 2017-11-01 with no recent activity flagged. Web searches returned generic VoIP industry results but no specific company website or current business presence for Advanced Telecom Solutions, LLC. Email domain (turbobridge.com) suggests potential connection to different entity.",UCaaS,"Provided ""Interconnected VoIP Service"" as defined by FCC rules, likely offering business telecommunications solutions based on company name and service description.",SMB,rules,industry_segment=UCaaS,Low,"4905 Del Ray Avenue Suite 300, Bethesda, MD 20814",Woodridge,IL,2408470500,rshpount@turbobridge.com,,0
"Mix Networks, Inc.",mix networks inc,,Aelea Christofferson,,2016-04-19,2016-04-19,1,1,16-108,False,"Multiple sources indicate inactive status: CorporationWiki states ""The company was incorporated in California twenty-eight years ago and is no longer active."" Aelea Christofferson's own website states ""Prior to my retirement, I owned ATL Communications"" suggesting she has retired from the business. Only one FCC filing from 2016 with no recent activity. Web search shows speaking engagements from 2015 but no current business operations.",Carrier,"ATL Communications was a telecommunications company specializing in managing and routing toll-free numbers, serving clients worldwide from its founding in 1993 until closure.",Unknown,undetermined,,Medium,,,,,,,0
"Affiliated Technology Solutions, LLC.",affiliated technology solutions llc,,,,2021-03-05,2021-03-05,3,1,21-81,True,"Active web presence via company dialer platform at dialer.atscall.me, LinkedIn profile showing current Technical Manager David A. Pereira, recent Glassdoor job posting for Agile Business Project Analyst position, and business listing on Cybo indicating current operations in Edison, NJ",Enterprise IT,"Technology solutions provider operating since 1986 with VoIP capabilities, offering business technology solutions including what appears to be dialer/calling platform services based on their web presence.",SMB,llm,,Medium,,,,,,,0
